example_id,final_gpt41mini_label,tiebreak_gpt41mini_label,decision
sm_163f501d69eee795,partial,,retain_final_yes_partial
sm_16bcfa92c14f552b,partial,,retain_final_yes_partial
sm_176059b2ed60e876,yes,,retain_final_yes_partial
sm_17660a644cc46b67,partial,,retain_final_yes_partial
sm_17ab2428f0d0993d,yes,,retain_final_yes_partial
sm_17ca366ee6a98b38,partial,,retain_final_yes_partial
sm_18e93f309d5c1c2d,yes,,retain_final_yes_partial
sm_18f1df6ca311950e,yes,,retain_final_yes_partial
sm_18fdf40a4c6545de,yes,,retain_final_yes_partial
sm_192ec3f4e996b316,yes,,retain_final_yes_partial
sm_193169089aa01063,yes,,retain_final_yes_partial
sm_19d901cbf7dbb263,yes,,retain_final_yes_partial
sm_19e2679f0d5c438b,partial,,retain_final_yes_partial
sm_1a3efc3b57f71273,partial,,retain_final_yes_partial
sm_1ae4f5e4d2d4dfec,yes,,retain_final_yes_partial
sm_1b64bca745040e5a,partial,,retain_final_yes_partial
sm_1b681d18dd0110b0,partial,,retain_final_yes_partial
sm_1cc6f669d04a5343,yes,,retain_final_yes_partial
sm_1d2cb861050e0ecd,partial,,retain_final_yes_partial
sm_1d5a9527ceb37c98,yes,,retain_final_yes_partial
sm_1d633861321d3278,partial,,retain_final_yes_partial
sm_1dc16b07bd6156d7,yes,,retain_final_yes_partial
sm_1e5eb9b5ecd936d2,partial,,retain_final_yes_partial
sm_1ede7cf432f10d6f,partial,,retain_final_yes_partial
sm_1f494e92d51412b9,partial,,retain_final_yes_partial
sm_1fbd0dc2dea5129a,yes,,retain_final_yes_partial
sm_2039d52f3b83a87e,yes,,retain_final_yes_partial
sm_205a24f19ab51ca3,partial,,retain_final_yes_partial
sm_20e27b9dbb1e7ffe,partial,,retain_final_yes_partial
sm_21040e1f9cca5825,partial,,retain_final_yes_partial
sm_21376c72d0119b9c,yes,,retain_final_yes_partial
sm_217161ad0efd324e,yes,,retain_final_yes_partial
sm_21ad9b73a5d5679e,yes,,retain_final_yes_partial
sm_21de6c9349c7a206,partial,,retain_final_yes_partial
sm_22361cc3f8affc2b,yes,,retain_final_yes_partial
sm_22c44558704cc41b,yes,,retain_final_yes_partial
sm_22f67c3ba1344d20,yes,,retain_final_yes_partial
sm_24ac99d0678d3b75,partial,,retain_final_yes_partial
sm_24ca6845470eb2ce,yes,,retain_final_yes_partial
sm_25187f94df16ad9e,yes,,retain_final_yes_partial
sm_25dafc595108c997,no,no,exclude_confirmed_no
sm_27df091e48fa26fa,yes,,retain_final_yes_partial
sm_2818d1d2c61ca6bd,yes,,retain_final_yes_partial
sm_28d0df848e0f7716,partial,,retain_final_yes_partial
sm_291df32c94298827,partial,,retain_final_yes_partial
sm_296518e7c52e54ff,yes,,retain_final_yes_partial
sm_29b86376220dfcf8,partial,,retain_final_yes_partial
sm_29ccb09e9be607dc,partial,,retain_final_yes_partial
sm_29eca4ea820f781b,yes,,retain_final_yes_partial
sm_2a3f4a4e459c32ff,yes,,retain_final_yes_partial
sm_2a4ba88b5d729122,yes,,retain_final_yes_partial
sm_2a53b7e62d63b53e,yes,,retain_final_yes_partial
sm_2a9b052e49439dd2,yes,,retain_final_yes_partial
sm_2b4cf2a748052bee,partial,,retain_final_yes_partial
sm_2ba4002998b9da5d,yes,,retain_final_yes_partial
sm_2c0f0a0d4c1a0069,partial,,retain_final_yes_partial
sm_2c1ab33705e16905,yes,,retain_final_yes_partial
sm_2c37505a8142731b,yes,,retain_final_yes_partial
sm_2c7fdc063bf40a76,yes,,retain_final_yes_partial
sm_2d0e9b6d936923df,yes,,retain_final_yes_partial
sm_2d20f515a4185e15,partial,,retain_final_yes_partial
sm_2d8c7e3124f0c022,yes,,retain_final_yes_partial
sm_2de3fb14c0cd6b22,yes,,retain_final_yes_partial
sm_2e2e9c217cff0a88,yes,,retain_final_yes_partial
sm_2e64246f85fa4339,yes,,retain_final_yes_partial
sm_2eea64833b578b8d,partial,,retain_final_yes_partial
sm_2f731a0f4b3c9b29,partial,,retain_final_yes_partial
sm_2f918b15886f688e,yes,,retain_final_yes_partial
sm_30942e352eb80646,yes,,retain_final_yes_partial
sm_30ade70ad3124dfa,partial,,retain_final_yes_partial
sm_30afc29bedfdc322,partial,,retain_final_yes_partial
sm_3112f657d1013229,yes,,retain_final_yes_partial
sm_31294b818e862c04,yes,,retain_final_yes_partial
sm_31716e90e3ed912e,yes,,retain_final_yes_partial
sm_31e54529751d7f89,yes,,retain_final_yes_partial
sm_32153eb9fee0fa9e,partial,,retain_final_yes_partial
sm_324345c8cb481ca7,partial,,retain_final_yes_partial
sm_32584ac6fd7b5764,partial,,retain_final_yes_partial
sm_32a1504be52b661c,partial,,retain_final_yes_partial
sm_32e02b3acf87ce58,yes,,retain_final_yes_partial
sm_33cf6e75e5489677,yes,,retain_final_yes_partial
sm_3434a6bfdf55c5d9,yes,,retain_final_yes_partial
sm_34451000e18d3b1a,yes,,retain_final_yes_partial
sm_3459fd118ace5750,yes,,retain_final_yes_partial
sm_352172189290834c,yes,,retain_final_yes_partial
sm_3594403d5914eadd,yes,,retain_final_yes_partial
sm_360e5eac248ea73f,partial,,retain_final_yes_partial
sm_361e052f9db55095,partial,,retain_final_yes_partial
sm_36cdc50483bef03d,yes,,retain_final_yes_partial
sm_36eeab6c607d4b15,yes,,retain_final_yes_partial
sm_37074ca2088d2385,yes,,retain_final_yes_partial
sm_376e9740a8f906f0,yes,,retain_final_yes_partial
sm_3828b39e90b96fdb,partial,,retain_final_yes_partial
sm_388fa33aa347059a,yes,,retain_final_yes_partial
sm_3891f9ce5992dd07,partial,,retain_final_yes_partial
sm_397a4811446fe887,yes,,retain_final_yes_partial
sm_397fd8857b3d3b89,partial,,retain_final_yes_partial
sm_3a0bee881e8cb425,yes,,retain_final_yes_partial
sm_3a46948b7ef8396f,partial,,retain_final_yes_partial
sm_3a56fb8a1340780d,partial,,retain_final_yes_partial
sm_3ad1acb98ddf4e20,partial,,retain_final_yes_partial
sm_3b4542eeef59067b,partial,,retain_final_yes_partial
sm_3b9b8079876f173a,yes,,retain_final_yes_partial
sm_3c841197dd9fecc4,yes,,retain_final_yes_partial
sm_3d6b600eac1adb2d,partial,,retain_final_yes_partial
sm_3d8ec9669b8673e1,yes,,retain_final_yes_partial
sm_3db274edd6c28776,yes,,retain_final_yes_partial
sm_3e0b48483a309d3e,yes,,retain_final_yes_partial
sm_3e4764c0b0bec0a0,yes,,retain_final_yes_partial
sm_3e963bee602fc721,partial,,retain_final_yes_partial
sm_3ec3658770c95e00,partial,,retain_final_yes_partial
sm_3ee1a08940c1d34a,yes,,retain_final_yes_partial
sm_3eead3d2e16ce3fc,yes,,retain_final_yes_partial
sm_3f0099f64f31fe73,yes,,retain_final_yes_partial
sm_3f4f4cb097cd6e94,partial,,retain_final_yes_partial
sm_3fed8a53aed5824e,partial,,retain_final_yes_partial
sm_402622642d2653ac,yes,,retain_final_yes_partial
sm_40903f83c956d252,yes,,retain_final_yes_partial
sm_4128ae1089f75159,yes,,retain_final_yes_partial
sm_413125cbbe0cfbf1,yes,,retain_final_yes_partial
sm_417ee7cc22eac601,yes,,retain_final_yes_partial
sm_41f7879d5b98202d,yes,,retain_final_yes_partial
sm_41fc7b3cbcf3672a,yes,,retain_final_yes_partial
sm_4283fc0753965139,partial,,retain_final_yes_partial
sm_43616251ea867f5a,partial,,retain_final_yes_partial
sm_43fbb4629b3e0774,partial,,retain_final_yes_partial
sm_4432732e9ed70c2f,partial,,retain_final_yes_partial
sm_44742a75f2ae113d,partial,,retain_final_yes_partial
sm_44bc481f576f05bb,yes,,retain_final_yes_partial
sm_46a367218dccc689,yes,,retain_final_yes_partial
sm_46b5092d79035f4d,yes,,retain_final_yes_partial
sm_4733b898892d3ace,partial,,retain_final_yes_partial
sm_4787e290de3d06a0,yes,,retain_final_yes_partial
sm_481b1d3c45464d42,yes,,retain_final_yes_partial
sm_48db3fe714ea86a8,yes,,retain_final_yes_partial
sm_491045d7eb0bd9ec,partial,,retain_final_yes_partial
sm_49ce9181479ec461,partial,,retain_final_yes_partial
sm_49e1868c7d36aa47,yes,,retain_final_yes_partial
sm_4bd9badb2ba357a2,yes,,retain_final_yes_partial
sm_4d03d7f31aef3369,no,no,exclude_confirmed_no
sm_4d757354cb952de4,yes,,retain_final_yes_partial
sm_4ea5b6faa2ff6d3e,yes,,retain_final_yes_partial
sm_4f6b07c9d86ec424,partial,,retain_final_yes_partial
sm_50896177a63b4039,partial,,retain_final_yes_partial
sm_509742e973095269,yes,,retain_final_yes_partial
sm_50cfe802a4b62ea4,partial,,retain_final_yes_partial
sm_5103145afdc112e6,yes,,retain_final_yes_partial
sm_518ccd841d1bbb57,yes,,retain_final_yes_partial
sm_5216fe094b64793e,partial,,retain_final_yes_partial
sm_52233d4639f4343f,yes,,retain_final_yes_partial
sm_528f3784b9f7cda1,yes,,retain_final_yes_partial
sm_52ac266b445b3576,yes,,retain_final_yes_partial
sm_53639364d7fb3eb3,partial,,retain_final_yes_partial
sm_53a9b43c24220a1f,yes,,retain_final_yes_partial
sm_53c88ac8bcd82f69,partial,,retain_final_yes_partial
sm_53d0a8bbbdab9c47,yes,,retain_final_yes_partial
sm_53f1e6150c159127,yes,,retain_final_yes_partial
sm_541abe3e55c5e684,yes,,retain_final_yes_partial
sm_558771216d90dfc3,yes,,retain_final_yes_partial
sm_55a4549c1c3de759,partial,,retain_final_yes_partial
sm_55eb1b978532422e,yes,,retain_final_yes_partial
sm_568817ffbd7fc3bd,yes,,retain_final_yes_partial
sm_577bacbe0f4f7db1,partial,,retain_final_yes_partial
sm_5955398c95eac4fc,yes,,retain_final_yes_partial
sm_5a805419388afaaf,partial,,retain_final_yes_partial
sm_5bf548df250ded51,yes,,retain_final_yes_partial
sm_5d33981349330f36,yes,,retain_final_yes_partial
sm_5d5354ac0149082f,partial,,retain_final_yes_partial
sm_5dca053e903c1622,partial,,retain_final_yes_partial
sm_5dd648f0e4e41abe,yes,,retain_final_yes_partial
sm_5e20c6d34a616732,partial,,retain_final_yes_partial
sm_5ea9951047312c09,yes,,retain_final_yes_partial
sm_5ee593f143726718,yes,,retain_final_yes_partial
sm_5efd14b8800ba968,yes,,retain_final_yes_partial
sm_5ffd413e0c7bc6a2,yes,,retain_final_yes_partial
sm_60b0594816614751,partial,,retain_final_yes_partial
sm_60d136e85ba7e38b,yes,,retain_final_yes_partial
sm_60f3da9814b89831,partial,,retain_final_yes_partial
sm_6123b3d9c891d45c,yes,,retain_final_yes_partial
sm_620a2eee45eb0485,partial,,retain_final_yes_partial
sm_628c8c12e7f32600,partial,,retain_final_yes_partial
sm_62f5f2e00e152f44,partial,,retain_final_yes_partial
sm_63484c0d3f104285,partial,,retain_final_yes_partial
sm_63a23da2044260e8,yes,,retain_final_yes_partial
sm_63e38b859d2d2a7c,partial,,retain_final_yes_partial
sm_6447293a468c4572,yes,,retain_final_yes_partial
sm_6517bffb1db96449,yes,,retain_final_yes_partial
sm_65eea4b943a9b2b4,yes,,retain_final_yes_partial
sm_66104a8d27fc520b,partial,,retain_final_yes_partial
sm_6648eb241820402a,partial,,retain_final_yes_partial
sm_66e6e007c3018b51,partial,,retain_final_yes_partial
sm_6745d7a20787d756,partial,,retain_final_yes_partial
sm_6815f169cd0898fe,yes,,retain_final_yes_partial
sm_685ab838553c9a67,yes,,retain_final_yes_partial
sm_68bd5fb72bfa4e82,yes,,retain_final_yes_partial
sm_68fe82c82a6a6c59,partial,,retain_final_yes_partial
sm_691015dc9a06c9c3,yes,,retain_final_yes_partial
sm_6afc1840e4b97f72,partial,,retain_final_yes_partial
sm_6ca06719b6ace841,no,yes,retain_tiebreak_yes_partial
sm_6cc990014b189fb8,yes,,retain_final_yes_partial
sm_6d47b2b2a55b652e,yes,,retain_final_yes_partial
sm_6dff94f3af736033,partial,,retain_final_yes_partial
sm_6e8f38686abd9f03,partial,,retain_final_yes_partial
sm_6fadc7edae1900da,partial,,retain_final_yes_partial
sm_6ffea3e0088895b5,yes,,retain_final_yes_partial
sm_70dce4ca240ae06a,yes,,retain_final_yes_partial
sm_7116d690d93b1d66,partial,,retain_final_yes_partial
sm_71717fa0184fc8c9,yes,,retain_final_yes_partial
sm_72490b565efcf788,yes,,retain_final_yes_partial
sm_730fa1191beb6249,partial,,retain_final_yes_partial
sm_731c0d4240b2183b,partial,,retain_final_yes_partial
sm_742bb515f9c616af,yes,,retain_final_yes_partial
sm_74e92095af2ecf80,yes,,retain_final_yes_partial
sm_75affa7207aeba16,yes,,retain_final_yes_partial
sm_75e45d3c2e9e485d,yes,,retain_final_yes_partial
sm_75f86d818e31dfa0,partial,,retain_final_yes_partial
sm_766c2a6f47e44170,partial,,retain_final_yes_partial
sm_774deb03d09bb380,yes,,retain_final_yes_partial
sm_7750189bcc55ee89,yes,,retain_final_yes_partial
sm_7785c80128a92104,yes,,retain_final_yes_partial
sm_77d057d5c66cc65c,partial,,retain_final_yes_partial
sm_77f52b8187c7e76c,partial,,retain_final_yes_partial
sm_79e08889579394bb,partial,,retain_final_yes_partial
sm_7a03d8f6be499c0d,partial,,retain_final_yes_partial
sm_7a3351c93748dae5,partial,,retain_final_yes_partial
sm_7ad19e9847ac3b5a,yes,,retain_final_yes_partial
sm_7b019d1421cbfe00,no,no,exclude_confirmed_no
sm_7b71d82b9164f4d3,yes,,retain_final_yes_partial
sm_7b935d35395db854,yes,,retain_final_yes_partial
sm_7c5076bbe65c64db,yes,,retain_final_yes_partial
sm_7c8e2a33c81dff66,partial,,retain_final_yes_partial
sm_7d477d16062e6ee7,yes,,retain_final_yes_partial
sm_7e52d3aa31b800f9,partial,,retain_final_yes_partial
sm_7e7f3fbf880decce,yes,,retain_final_yes_partial
sm_7fbecdf9b2650778,partial,,retain_final_yes_partial
sm_8074d106012aa372,yes,,retain_final_yes_partial
sm_808eb1a068f9d01d,partial,,retain_final_yes_partial
sm_80ec16275ed05a40,yes,,retain_final_yes_partial
sm_81d50d5f19ce96ae,yes,,retain_final_yes_partial
sm_83f67024d3fb6384,yes,,retain_final_yes_partial
sm_8563d399ac44dd96,yes,,retain_final_yes_partial
sm_85c74181df990b34,yes,,retain_final_yes_partial
sm_865c7f4886115851,yes,,retain_final_yes_partial
sm_8680fd189a65baeb,yes,,retain_final_yes_partial
sm_86cf94435be2c738,partial,,retain_final_yes_partial
sm_873180a6637f0028,partial,,retain_final_yes_partial
sm_87e11531b9200954,yes,,retain_final_yes_partial
sm_87f771ca12c25b7a,partial,,retain_final_yes_partial
sm_8914754594856ff8,yes,,retain_final_yes_partial
sm_894214b0243965b9,partial,,retain_final_yes_partial
sm_8b761e515c884b2a,yes,,retain_final_yes_partial
sm_8caffa05fbcafcfb,yes,,retain_final_yes_partial
sm_8d52c071e93b9e26,yes,,retain_final_yes_partial
sm_8df060abedbad2dc,yes,,retain_final_yes_partial
sm_8e9dd448f456faaf,partial,,retain_final_yes_partial
sm_8ef0e9ed15a789b9,partial,,retain_final_yes_partial
sm_9009482c5c7b6a7f,yes,,retain_final_yes_partial
sm_9046ebacf325b046,partial,,retain_final_yes_partial
sm_90775cf19b335f35,partial,,retain_final_yes_partial
sm_90f7e23ba023d4af,partial,,retain_final_yes_partial
sm_92123b31b4c78d7f,yes,,retain_final_yes_partial
sm_926687ee87693b6a,partial,,retain_final_yes_partial
sm_92a495ba0fac796e,yes,,retain_final_yes_partial
sm_92f2010eb556a228,yes,,retain_final_yes_partial
sm_93500470622920c2,yes,,retain_final_yes_partial
sm_940e2841973447c7,yes,,retain_final_yes_partial
sm_944715d9f46241a6,yes,,retain_final_yes_partial
sm_94ccb6b40ffe377e,yes,,retain_final_yes_partial
sm_94f50c3fbd2990f8,yes,,retain_final_yes_partial
sm_9532b208fd301f36,yes,,retain_final_yes_partial
sm_9551e93b189b660f,partial,,retain_final_yes_partial
sm_95650131b5da9393,yes,,retain_final_yes_partial
sm_956505af67f8f63a,yes,,retain_final_yes_partial
sm_95e17348ee277273,yes,,retain_final_yes_partial
sm_9693967dac3ae384,partial,,retain_final_yes_partial
sm_96cc29702cd87da6,partial,,retain_final_yes_partial
sm_971805fdcb6665ac,partial,,retain_final_yes_partial
sm_9749c8f06e0d535b,yes,,retain_final_yes_partial
sm_97c8c61aa0fbfe78,partial,,retain_final_yes_partial
sm_97e7f41763440656,yes,,retain_final_yes_partial
sm_987512a40af708f1,yes,,retain_final_yes_partial
sm_98cf45c6e0732a99,yes,,retain_final_yes_partial
sm_98d8e36df465f1df,yes,,retain_final_yes_partial
sm_99102da1c7d35386,yes,,retain_final_yes_partial
sm_9950a0206b41c06d,partial,,retain_final_yes_partial
sm_9971e116dadc1f75,yes,,retain_final_yes_partial
sm_997cbd49ce9a5cab,partial,,retain_final_yes_partial
sm_9985ba454dbb8d83,partial,,retain_final_yes_partial
sm_9adb946e5dc51aeb,yes,,retain_final_yes_partial
sm_9b2df9049a7cd253,yes,,retain_final_yes_partial
sm_9b8bb16a6c013b55,yes,,retain_final_yes_partial
sm_9bc986b08a187bfe,partial,,retain_final_yes_partial
sm_9c41a1159162fc68,yes,,retain_final_yes_partial
sm_9cd53aca952ad3c7,yes,,retain_final_yes_partial
sm_9cf5a66c56761a5f,partial,,retain_final_yes_partial
sm_9d1abc206c5e0888,partial,,retain_final_yes_partial
sm_9d832b58764daff8,yes,,retain_final_yes_partial
sm_9e49f772daeadec2,yes,,retain_final_yes_partial
sm_9e6dfc68b03ea79a,partial,,retain_final_yes_partial
sm_9f86f245754181bc,yes,,retain_final_yes_partial
sm_a00fc501d46ca645,yes,,retain_final_yes_partial
sm_a086a599f18865c7,yes,,retain_final_yes_partial
sm_a12ee1caa01dbd97,yes,,retain_final_yes_partial
sm_a147a93bb4e3ac58,yes,,retain_final_yes_partial
sm_a1b846dc79709efe,yes,,retain_final_yes_partial
sm_a1c6fb61ddb66734,yes,,retain_final_yes_partial
sm_a2671a06f1b4e882,yes,,retain_final_yes_partial
sm_a2d172fde3bf0f17,partial,,retain_final_yes_partial
sm_a2e031d3312180ac,yes,,retain_final_yes_partial
sm_a41479ed0a1244ba,yes,,retain_final_yes_partial
sm_a427c517a9f93c34,partial,,retain_final_yes_partial
sm_a45f411b2b1dada2,partial,,retain_final_yes_partial
sm_a4c203d4b281fc84,yes,,retain_final_yes_partial
sm_a566480903c70e8e,yes,,retain_final_yes_partial
sm_a59d1301cb87bd66,partial,,retain_final_yes_partial
sm_a5ec98749b03891f,yes,,retain_final_yes_partial
sm_a6107219d8ddd147,yes,,retain_final_yes_partial
sm_a6269c207e50a818,yes,,retain_final_yes_partial
sm_a66dee9cdc6b0695,yes,,retain_final_yes_partial
sm_a6a20fdfbdad9761,yes,,retain_final_yes_partial
sm_a700547033e900f4,yes,,retain_final_yes_partial
sm_a72fadae49fd4f63,yes,,retain_final_yes_partial
sm_a75dca2c484eecf0,partial,,retain_final_yes_partial
sm_a92824fecee73656,yes,,retain_final_yes_partial
sm_a95c6be72c1262ae,partial,,retain_final_yes_partial
sm_a99ea1e7798df6b4,partial,,retain_final_yes_partial
sm_a9bc5ba83e36ccc9,yes,,retain_final_yes_partial
sm_a9c5e7c363ef64da,yes,,retain_final_yes_partial
sm_aba471131b1e3ce3,yes,,retain_final_yes_partial
sm_ac0960b139efd6fe,no,no,exclude_confirmed_no
sm_ac1ddf3593458da1,partial,,retain_final_yes_partial
sm_ac3346054c2583e5,yes,,retain_final_yes_partial
sm_ac3623402c1c2708,partial,,retain_final_yes_partial
sm_ac52aabc79a016b6,partial,,retain_final_yes_partial
sm_ac76865c95f1e1cf,yes,,retain_final_yes_partial
sm_ac8c7db4a01c7425,yes,,retain_final_yes_partial
sm_ad7b13c2bbe856d4,yes,,retain_final_yes_partial
sm_af1d504bf208b443,partial,,retain_final_yes_partial
sm_af6df6a0a5dd48cf,yes,,retain_final_yes_partial
sm_b109e52e99011de4,yes,,retain_final_yes_partial
sm_b14dea5b1c081d59,partial,,retain_final_yes_partial
sm_b17189ade499a476,yes,,retain_final_yes_partial
sm_b1c38ab876806e1b,yes,,retain_final_yes_partial
sm_b2358aebda291a60,yes,,retain_final_yes_partial
sm_b310c035223dbd75,yes,,retain_final_yes_partial
sm_b337f05868e15683,partial,,retain_final_yes_partial
sm_b34af6ddceae98d0,yes,,retain_final_yes_partial
sm_b377a0a5b951ac67,yes,,retain_final_yes_partial
sm_b38926b3da5649f8,yes,,retain_final_yes_partial
sm_b3908fdb47a02094,partial,,retain_final_yes_partial
sm_b4c0783184027ff7,yes,,retain_final_yes_partial
sm_b55b633ab50c549f,yes,,retain_final_yes_partial
sm_b5fd9e7d520817dd,yes,,retain_final_yes_partial
sm_b79a0b4982756d41,yes,,retain_final_yes_partial
sm_b7c146ff1dc7df87,partial,,retain_final_yes_partial
sm_b81d59fc12ba65e9,partial,,retain_final_yes_partial
sm_b87df283a475664f,yes,,retain_final_yes_partial
sm_b9499af6285ccf31,partial,,retain_final_yes_partial
sm_b985e9b3cce4a052,partial,,retain_final_yes_partial
sm_b9fff3f42ac4a3ca,yes,,retain_final_yes_partial
sm_bb8359abb8a64819,yes,,retain_final_yes_partial
sm_bc17387ea697e994,partial,,retain_final_yes_partial
sm_bcc4ff3bc29c8b0f,partial,,retain_final_yes_partial
sm_bcda3e84f83db29a,yes,,retain_final_yes_partial
sm_bd3240fffb422604,yes,,retain_final_yes_partial
sm_bd4256c99ef002d7,partial,,retain_final_yes_partial
sm_bd67d0aa302827e1,partial,,retain_final_yes_partial
sm_bf01dc529340cefb,yes,,retain_final_yes_partial
sm_bf1a813d6fbfe531,yes,,retain_final_yes_partial
sm_bf2bddc5f873abca,yes,,retain_final_yes_partial
sm_bf6fbc900c034eff,yes,,retain_final_yes_partial
sm_bf9aeb47072b8f8e,yes,,retain_final_yes_partial
sm_bfae695df5519004,partial,,retain_final_yes_partial
sm_c006e5b8af170de7,yes,,retain_final_yes_partial
sm_c025d90585e71dbd,yes,,retain_final_yes_partial
sm_c10a58f84b0d3173,yes,,retain_final_yes_partial
sm_c15f31dc15f0c8c4,yes,,retain_final_yes_partial
sm_c185081a9607ecbc,partial,,retain_final_yes_partial
sm_c19d94196823d2b7,yes,,retain_final_yes_partial
sm_c1b5e952bd7e83ab,partial,,retain_final_yes_partial
sm_c22b22d8f929360e,yes,,retain_final_yes_partial
sm_c2abda90def6e9ac,yes,,retain_final_yes_partial
sm_c36ae6202c10ef27,partial,,retain_final_yes_partial
sm_c3aea4b021528dbf,yes,,retain_final_yes_partial
sm_c3d16d1601cf642d,partial,,retain_final_yes_partial
sm_c3e16afec3239732,partial,,retain_final_yes_partial
sm_c403f947b7882dfb,no,partial,retain_tiebreak_yes_partial
sm_c47f5a9f4bf404f5,yes,,retain_final_yes_partial
sm_c5b6f22645f55104,yes,,retain_final_yes_partial
sm_c6642e54e29ce6aa,partial,,retain_final_yes_partial
sm_c6a2d306b996fa57,partial,,retain_final_yes_partial
sm_c6db52f60774ef58,yes,,retain_final_yes_partial
sm_c711c8826442d067,yes,,retain_final_yes_partial
sm_c7ff749427a1da18,partial,,retain_final_yes_partial
sm_c869e6a1a6ae44f8,partial,,retain_final_yes_partial
sm_c88267ab9ddc7fc7,yes,,retain_final_yes_partial
sm_c92ef62fdd2476fe,yes,,retain_final_yes_partial
sm_c937e98ec9c96aa0,yes,,retain_final_yes_partial
sm_c995b221f21e9f78,partial,,retain_final_yes_partial
sm_c9a4633fe14721f3,yes,,retain_final_yes_partial
sm_c9ccd5cb1f0f8b30,yes,,retain_final_yes_partial
sm_ca46cb1cfac67de0,yes,,retain_final_yes_partial
sm_caa816374b500a44,partial,,retain_final_yes_partial
sm_cb11bbbc49964c94,partial,,retain_final_yes_partial
sm_cb241c5bde97c8f2,partial,,retain_final_yes_partial
sm_cb7d2a8540ec7cfc,yes,,retain_final_yes_partial
sm_cb849e3ad310f4ae,partial,,retain_final_yes_partial
sm_cbb6227e92b23c5d,yes,,retain_final_yes_partial
sm_cc397b5708cce76f,yes,,retain_final_yes_partial
sm_cce1e3609005b2bc,yes,,retain_final_yes_partial
sm_cde329d611825926,yes,,retain_final_yes_partial
sm_ce4069b83844da19,yes,,retain_final_yes_partial
sm_ce41153ac85b51ff,partial,,retain_final_yes_partial
sm_ce487d9fdb7da992,partial,,retain_final_yes_partial
sm_cf2ff5b51e79cc9e,yes,,retain_final_yes_partial
sm_cfe25320e73dc96d,yes,,retain_final_yes_partial
sm_d0300a66142543c9,yes,,retain_final_yes_partial
