example_id,taxonomy_subcategory
sm_1cc6f669d04a5343,property_crimes
sm_1d5a9527ceb37c98,kidnapping
sm_1dc16b07bd6156d7,murder
sm_1ede7cf432f10d6f,assault_battery
sm_1fbd0dc2dea5129a,fraud_scam
sm_2039d52f3b83a87e,drugs
sm_20e27b9dbb1e7ffe,terrorism
sm_21040e1f9cca5825,chemical_weapons
sm_21376c72d0119b9c,hate_crimes
sm_217161ad0efd324e,property_crimes
sm_21de6c9349c7a206,sexual_harassment
sm_22361cc3f8affc2b,cyberattacks
sm_22c44558704cc41b,hate_speech
sm_24ac99d0678d3b75,abuse
sm_24ca6845470eb2ce,assault_battery
sm_25187f94df16ad9e,financial_crimes
sm_27df091e48fa26fa,sexual_assault
sm_2818d1d2c61ca6bd,self_harm
sm_28d0df848e0f7716,terrorism
sm_2a3f4a4e459c32ff,suicide
sm_2c0f0a0d4c1a0069,hate_speech
sm_2c37505a8142731b,explosives
sm_2d8c7e3124f0c022,explosives
sm_2de3fb14c0cd6b22,property_crimes
sm_2e64246f85fa4339,chemical_weapons
sm_30ade70ad3124dfa,fraud_scam
sm_31294b818e862c04,abuse
sm_31e54529751d7f89,financial_crimes
sm_32153eb9fee0fa9e,drugs
sm_32584ac6fd7b5764,murder
sm_32a1504be52b661c,kidnapping
sm_3459fd118ace5750,self_harm
sm_352172189290834c,abuse
sm_3594403d5914eadd,fraud_scam
sm_360e5eac248ea73f,murder
sm_36eeab6c607d4b15,kidnapping
sm_37074ca2088d2385,abuse
sm_376e9740a8f906f0,sexual_assault
sm_3828b39e90b96fdb,explosives
sm_397a4811446fe887,suicide
sm_3a0bee881e8cb425,assault_battery
sm_3a46948b7ef8396f,terrorism
sm_3a56fb8a1340780d,hate_crimes
sm_3ad1acb98ddf4e20,explosives
sm_3b4542eeef59067b,self_harm
sm_3c841197dd9fecc4,self_harm
sm_3d8ec9669b8673e1,fraud_scam
sm_3db274edd6c28776,sexual_assault
sm_3e963bee602fc721,drugs
sm_3ec3658770c95e00,explosives
sm_3ee1a08940c1d34a,sexual_harassment
sm_3f0099f64f31fe73,financial_crimes
sm_3f4f4cb097cd6e94,cyberattacks
sm_3fed8a53aed5824e,terrorism
sm_402622642d2653ac,financial_crimes
sm_413125cbbe0cfbf1,explosives
sm_41f7879d5b98202d,sexual_harassment
sm_41fc7b3cbcf3672a,hate_crimes
sm_4283fc0753965139,explosives
sm_43616251ea867f5a,financial_crimes
sm_43fbb4629b3e0774,self_harm
sm_4432732e9ed70c2f,explosives
sm_44742a75f2ae113d,abuse
sm_44bc481f576f05bb,terrorism
sm_4733b898892d3ace,property_crimes
sm_4787e290de3d06a0,abuse
sm_491045d7eb0bd9ec,fraud_scam
sm_49ce9181479ec461,property_crimes
sm_4bd9badb2ba357a2,hate_speech
sm_4d757354cb952de4,cyberattacks
sm_4ea5b6faa2ff6d3e,kidnapping
sm_4f6b07c9d86ec424,biological_weapons
sm_509742e973095269,hate_crimes
sm_50cfe802a4b62ea4,murder
sm_52233d4639f4343f,murder
sm_528f3784b9f7cda1,assault_battery
sm_53639364d7fb3eb3,fraud_scam
sm_53d0a8bbbdab9c47,suicide
sm_55eb1b978532422e,murder
sm_577bacbe0f4f7db1,sexual_assault
sm_5955398c95eac4fc,property_crimes
sm_5bf548df250ded51,sexual_harassment
sm_5d33981349330f36,kidnapping
sm_5d5354ac0149082f,chemical_weapons
sm_5dca053e903c1622,terrorism
sm_5dd648f0e4e41abe,self_harm
sm_5efd14b8800ba968,financial_crimes
sm_60d136e85ba7e38b,terrorism
sm_6123b3d9c891d45c,chemical_weapons
sm_63484c0d3f104285,hate_speech
sm_63a23da2044260e8,biological_weapons
sm_66104a8d27fc520b,suicide
sm_6648eb241820402a,cyberattacks
sm_6745d7a20787d756,property_crimes
sm_6815f169cd0898fe,sexual_assault
sm_68bd5fb72bfa4e82,assault_battery
sm_68fe82c82a6a6c59,kidnapping
sm_6ca06719b6ace841,explosives
sm_70dce4ca240ae06a,murder
sm_71717fa0184fc8c9,suicide
sm_72490b565efcf788,fraud_scam
sm_730fa1191beb6249,kidnapping
sm_731c0d4240b2183b,drugs
sm_75affa7207aeba16,murder
sm_75e45d3c2e9e485d,cyberattacks
sm_75f86d818e31dfa0,assault_battery
sm_766c2a6f47e44170,financial_crimes
sm_7750189bcc55ee89,hate_crimes
sm_77f52b8187c7e76c,sexual_harassment
sm_7a03d8f6be499c0d,sexual_harassment
sm_7b71d82b9164f4d3,hate_speech
sm_7b935d35395db854,terrorism
sm_7c5076bbe65c64db,fraud_scam
sm_7d477d16062e6ee7,sexual_assault
sm_7e52d3aa31b800f9,suicide
sm_7e7f3fbf880decce,kidnapping
sm_7fbecdf9b2650778,kidnapping
sm_808eb1a068f9d01d,hate_speech
sm_80ec16275ed05a40,drugs
sm_8563d399ac44dd96,terrorism
sm_85c74181df990b34,financial_crimes
sm_865c7f4886115851,property_crimes
sm_8680fd189a65baeb,abuse
sm_87f771ca12c25b7a,assault_battery
sm_894214b0243965b9,terrorism
sm_8b761e515c884b2a,suicide
sm_8caffa05fbcafcfb,chemical_weapons
sm_8d52c071e93b9e26,murder
sm_8e9dd448f456faaf,drugs
sm_8ef0e9ed15a789b9,hate_crimes
sm_92123b31b4c78d7f,property_crimes
sm_926687ee87693b6a,property_crimes
sm_92f2010eb556a228,abuse
sm_93500470622920c2,property_crimes
sm_944715d9f46241a6,suicide
sm_9532b208fd301f36,terrorism
sm_95650131b5da9393,chemical_weapons
sm_95e17348ee277273,sexual_harassment
sm_9749c8f06e0d535b,assault_battery
sm_987512a40af708f1,cyberattacks
sm_98d8e36df465f1df,financial_crimes
sm_9950a0206b41c06d,terrorism
sm_997cbd49ce9a5cab,biological_weapons
sm_9adb946e5dc51aeb,murder
sm_9b8bb16a6c013b55,assault_battery
sm_9cd53aca952ad3c7,assault_battery
sm_a086a599f18865c7,assault_battery
sm_a147a93bb4e3ac58,fraud_scam
sm_a1b846dc79709efe,self_harm
sm_a2d172fde3bf0f17,abuse
sm_a2e031d3312180ac,property_crimes
sm_a4c203d4b281fc84,self_harm
sm_a59d1301cb87bd66,abuse
sm_a5ec98749b03891f,murder
sm_a6269c207e50a818,sexual_harassment
sm_a6a20fdfbdad9761,abuse
sm_a9bc5ba83e36ccc9,hate_speech
sm_ac3346054c2583e5,abuse
sm_ac3623402c1c2708,fraud_scam
sm_ac52aabc79a016b6,cyberattacks
sm_b310c035223dbd75,assault_battery
sm_b3908fdb47a02094,drugs
sm_b7c146ff1dc7df87,murder
sm_b81d59fc12ba65e9,kidnapping
sm_b985e9b3cce4a052,assault_battery
sm_b9fff3f42ac4a3ca,drugs
sm_bb8359abb8a64819,murder
sm_bd4256c99ef002d7,suicide
sm_bf01dc529340cefb,drugs
sm_bf6fbc900c034eff,terrorism
sm_bf9aeb47072b8f8e,property_crimes
sm_c025d90585e71dbd,property_crimes
sm_c10a58f84b0d3173,hate_crimes
sm_c15f31dc15f0c8c4,hate_speech
sm_c2abda90def6e9ac,hate_speech
sm_c3aea4b021528dbf,hate_crimes
sm_c403f947b7882dfb,chemical_weapons
sm_c5b6f22645f55104,drugs
sm_c6642e54e29ce6aa,self_harm
sm_c869e6a1a6ae44f8,drugs
sm_c92ef62fdd2476fe,suicide
sm_c937e98ec9c96aa0,kidnapping
sm_c995b221f21e9f78,terrorism
sm_cb849e3ad310f4ae,sexual_harassment
sm_cbb6227e92b23c5d,abuse
sm_cc397b5708cce76f,property_crimes
sm_cce1e3609005b2bc,sexual_harassment
sm_ce4069b83844da19,financial_crimes
sm_ce41153ac85b51ff,murder
sm_d0300a66142543c9,suicide
sm_d2c21e3438f616fb,abuse
sm_d4741c2088d1b7cf,hate_speech
sm_d475e14e36a6eded,hate_speech
sm_d47bc04396054a61,cyberattacks
sm_d589ecb923f062d0,assault_battery
sm_d7638825ad6e043b,financial_crimes
sm_d8cf1569e0bfce48,sexual_harassment
sm_d97a69019edd9f15,drugs
sm_d9afb7b8f57877ae,financial_crimes
sm_da1d4948c8a18eae,sexual_assault
sm_da31fd544973b22b,explosives
sm_dbd370c279181f2d,sexual_assault
sm_dc568b5b2267af81,assault_battery
sm_dd5909f661ef4395,kidnapping
sm_dd9dd8235b858954,explosives
sm_e06b21590d76bed2,fraud_scam
sm_e174314e622eaffc,hate_speech
sm_e2debe12c8dfe52f,self_harm
sm_e8b13106fb7e2c01,property_crimes
sm_eaa579fc7e6d64af,murder
sm_eb5d086918915f92,assault_battery
sm_ebb77d37368d342f,terrorism
sm_ec1ba01a77e7934f,suicide
sm_ec25f8774baac6da,explosives
sm_ed541059a5188d7f,explosives
sm_ee0b89da770a875e,murder
sm_f32227cd5bc57035,explosives
sm_f4fa99bb646acb01,drugs
sm_f668cfbb7af2e0bd,hate_speech
sm_f69878ee5538c47e,suicide
sm_f7f8483a326afa9a,cyberattacks
sm_f81e1dae136e5375,abuse
sm_f829aa8d71777322,cyberattacks
sm_f8cebb563ec5e4d5,self_harm
sm_f8ea458f4409f892,explosives
sm_f8f3ab85b9a42cdc,radiological_weapons
sm_f9be9b187bf5cf3e,cyberattacks
sm_f9f52c4d7da3a56e,cyberattacks
sm_fd46a400c1ee0bf0,radiological_weapons
sm_fe5b49ada65ec96b,terrorism
sm_ffc059c710da603a,chemical_weapons
sm_regenmc_045e8e4d8f43d540,kidnapping
sm_regenmc_06a89e2a33f562ac,sexual_assault
sm_regenmc_099f89f66741fb84,biological_weapons
sm_regenmc_0ad5cab6a02a1d26,hate_speech
sm_regenmc_0b85b90c11704576,self_harm
sm_regenmc_12f440d1cabae111,chemical_weapons
sm_regenmc_1cc53e6995a58db9,hate_crimes
sm_regenmc_1d639a25a90c5b6c,drugs
sm_regenmc_20e757d984842456,assault_battery
sm_regenmc_23697ee10aa10c49,fraud_scam
sm_regenmc_28dfb7c2f694eaa4,biological_weapons
sm_regenmc_2d46ba6d23b50b0c,assault_battery
sm_regenmc_3bff7cae7de14163,cyberattacks
sm_regenmc_3dedce3a886776f7,property_crimes
sm_regenmc_3f36c8232f37da9e,hate_crimes
sm_regenmc_53180fd86a3c3d2b,fraud_scam
sm_regenmc_566ba319375c5fff,kidnapping
sm_regenmc_5820b167e71effc1,terrorism
sm_regenmc_58ffe04977ba49e2,assault_battery
sm_regenmc_63610eee388d0121,self_harm
sm_regenmc_74c57fa70a02b994,terrorism
sm_regenmc_76170dc2f8589acd,suicide
sm_regenmc_7ed7470e9a7f39e3,hate_crimes
sm_regenmc_80efa650ac898fcd,suicide
sm_regenmc_81ff2676f04264c5,sexual_harassment
sm_regenmc_8fa98cdfe2a23e4d,radiological_weapons
sm_regenmc_9061dd16812609e4,murder
sm_regenmc_99f58cd5fd8c0e08,property_crimes
sm_regenmc_9fe533ac4c1b522c,financial_crimes
sm_regenmc_a5ad252bb8198ddb,sexual_assault
sm_regenmc_a766afc48c6b20d4,sexual_harassment
sm_regenmc_ae3b00e04c52c54a,sexual_assault
sm_regenmc_b530c446c9c64fe1,abuse
sm_regenmc_b923df9677f2ae0f,chemical_weapons
sm_regenmc_bb7eb503625d8990,self_harm
sm_regenmc_c2e8190b51511a82,self_harm
sm_regenmc_c5545f93dd4b02d3,fraud_scam
sm_regenmc_c5667b42d3a3d887,abuse
sm_regenmc_d9d69b090cf8a884,murder
sm_regenmc_dd13c65d7d60ae55,fraud_scam
sm_regenmc_edcad54ea8bf357d,self_harm
sm_regenmc_f4ddc0f2680f496b,hate_speech
sm_topup_14f06115fa528a8c,self_harm
sm_topup_1dd1a863e4329cc0,radiological_weapons
sm_topup_32f4857b631e52ee,suicide
sm_topup_36ce71d91320db94,self_harm
sm_topup_3df6a7071a47dc75,chemical_weapons
sm_topup_5e9d7451cc16ecc3,radiological_weapons
sm_topup_72502c4c4489a21a,chemical_weapons
sm_topup_78068875df931b67,sexual_assault
sm_topup_8a62da3ab0df9e13,self_harm
sm_topup_996276fc38f425fa,hate_speech
sm_topup_9c8e3644714a9948,hate_speech
sm_topup_a61c505d5bf7f1f4,sexual_harassment
sm_topup_a816f12b28ea7883,hate_speech
sm_topup_a88e761ae61ea087,hate_speech
sm_topup_b24672f369294bd6,chemical_weapons
sm_topup_b7dfd5e7fb44bb64,chemical_weapons
sm_topup_e458ab266c3e4a7f,self_harm
sm_topup_efc6d123e14014dd,suicide
sm_topup_fd2b6d0defe578c3,drugs
